,Set Score,Game Score,Serving?,Point Score,% Win,Number of Instances,Points Elapsed,Y
277,0-0,1-1,Returning,15-40,0.453548488172,6383,4,-2
278,0-0,1-1,Serving,40-30,0.517513736264,5824,5,1
279,0-0,1-1,Returning,30-40,0.482486263736,5824,5,-1
280,0-0,1-1,Serving,40-40,0.458839242351,8236,6,0
281,0-0,1-1,Returning,40-40,0.541160757649,8236,6,0
282,0-0,1-1,Serving,40-AD,0.377212045948,3221,7,-1
283,0-0,1-1,Returning,AD-40,0.622787954052,3221,7,1
284,0-0,1-1,Serving,AD-40,0.511071214841,5013,7,1
285,0-0,1-1,Returning,40-AD,0.488928785159,5013,7,-1
286,0-0,1-1,Serving,Start of Game,0.500492610837,18270,0,0
287,0-0,1-1,Returning,Start of Game,0.499507389163,18270,0,0
288,0-0,1-2,Serving,0-15,0.387030365414,5829,1,-1
289,0-0,2-1,Returning,15-0,0.612969634586,5829,1,1
290,0-0,1-2,Serving,0-30,0.334046193328,2338,2,-2
291,0-0,2-1,Returning,30-0,0.665953806672,2338,2,2
292,0-0,1-2,Serving,0-40,0.270509977827,902,3,-3
293,0-0,2-1,Returning,40-0,0.729490022173,902,3,3
294,0-0,1-2,Serving,15-0,0.474192509926,9319,1,1
295,0-0,2-1,Returning,0-15,0.525807490074,9319,1,-1
296,0-0,1-2,Serving,15-15,0.429272517321,6928,2,0
297,0-0,2-1,Returning,15-15,0.570727482679,6928,2,0
298,0-0,1-2,Serving,15-30,0.370896619304,4082,3,-1
299,0-0,2-1,Returning,30-15,0.629103380696,4082,3,1
300,0-0,1-2,Serving,15-40,0.319071461083,2197,4,-2
301,0-0,2-1,Returning,40-15,0.680928538917,2197,4,2
302,0-0,1-2,Serving,30-0,0.496429785787,5882,2,2
303,0-0,2-1,Returning,0-30,0.503570214213,5882,2,-2
304,0-0,1-2,Serving,30-15,0.466561014263,6310,3,1
305,0-0,2-1,Returning,15-30,0.533438985737,6310,3,-1
306,0-0,1-2,Serving,30-30,0.410984455959,4825,4,0
307,0-0,2-1,Returning,30-30,0.589015544041,4825,4,0
308,0-0,1-2,Serving,30-40,0.357774968394,3164,5,-1
309,0-0,2-1,Returning,40-30,0.642225031606,3164,5,1
310,0-0,1-2,Serving,40-0,0.511935651271,3854,3,3
311,0-0,2-1,Returning,0-40,0.488064348729,3854,3,-3
312,0-0,1-2,Serving,40-15,0.492930836836,5234,4,2
313,0-0,2-1,Returning,15-40,0.507069163164,5234,4,-2
314,0-0,1-2,Serving,40-30,0.458083212585,4831,5,1
315,0-0,2-1,Returning,30-40,0.541916787415,4831,5,-1
316,0-0,1-2,Serving,40-40,0.386869702629,6961,6,0
317,0-0,2-1,Returning,40-40,0.613130297371,6961,6,0
318,0-0,1-2,Serving,40-AD,0.320177056437,2711,7,-1
319,0-0,2-1,Returning,AD-40,0.679822943563,2711,7,1
320,0-0,1-2,Serving,AD-40,0.429143126177,4248,7,1
321,0-0,2-1,Returning,40-AD,0.570856873823,4248,7,-1
322,0-0,1-2,Serving,Start of Game,0.4406891544,15149,0,0
323,0-0,2-1,Returning,Start of Game,0.5593108456,15149,0,0
324,0-0,1-3,Serving,0-15,0.229086722947,2606,1,-1
325,0-0,3-1,Returning,15-0,0.770913277053,2606,1,1
326,0-0,1-3,Serving,0-30,0.201039861352,1154,2,-2
327,0-0,3-1,Returning,30-0,0.798960138648,1154,2,2
328,0-0,1-3,Serving,0-40,0.177631578947,456,3,-3
329,0-0,3-1,Returning,40-0,0.822368421053,456,3,3
330,0-0,1-3,Serving,15-0,0.270206643997,3823,1,1
331,0-0,3-1,Returning,0-15,0.729793356003,3823,1,-1
332,0-0,1-3,Serving,15-15,0.247834776815,3002,2,0
333,0-0,3-1,Returning,15-15,0.752165223185,3002,2,0
334,0-0,1-3,Serving,15-30,0.225656877898,1941,3,-1
335,0-0,3-1,Returning,30-15,0.774343122102,1941,3,1
336,0-0,1-3,Serving,15-40,0.199265381084,1089,4,-2
337,0-0,3-1,Returning,40-15,0.800734618916,1089,4,2
338,0-0,1-3,Serving,30-0,0.287411971831,2272,2,2
339,0-0,3-1,Returning,0-30,0.712588028169,2272,2,-2
340,0-0,1-3,Serving,30-15,0.257809559654,2657,3,1
341,0-0,3-1,Returning,15-30,0.742190440346,2657,3,-1
342,0-0,1-3,Serving,30-30,0.232216613125,2179,4,0
343,0-0,3-1,Returning,30-30,0.767783386875,2179,4,0
344,0-0,1-3,Serving,30-40,0.219258295381,1537,5,-1
345,0-0,3-1,Returning,40-30,0.780741704619,1537,5,1
346,0-0,1-3,Serving,40-0,0.309090909091,1375,3,3
347,0-0,3-1,Returning,0-40,0.690909090909,1375,3,-3
348,0-0,1-3,Serving,40-15,0.29206500956,2092,4,2
349,0-0,3-1,Returning,15-40,0.70793499044,2092,4,-2
350,0-0,1-3,Serving,40-30,0.25667151868,2061,5,1
351,0-0,3-1,Returning,30-40,0.74332848132,2061,5,-1
352,0-0,1-3,Serving,40-40,0.226864747756,3231,6,0
353,0-0,3-1,Returning,40-40,0.773135252244,3231,6,0
354,0-0,1-3,Serving,40-AD,0.193621867882,1317,7,-1
355,0-0,3-1,Returning,AD-40,0.806378132118,1317,7,1
356,0-0,1-3,Serving,AD-40,0.24973876698,1914,7,1
357,0-0,3-1,Returning,40-AD,0.75026123302,1914,7,-1
358,0-0,1-3,Serving,Start of Game,0.253538652979,6429,0,0
